Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6600000,-88.09,-125.55,50.0,1.00,-0.0,50.0,-0.0
6600250,-87.25,-124.99,50.0,1.00,-0.0,50.0,-0.0
6600500,-87.64,-123.57,50.0,1.00,-0.0,50.0,-0.0
6600750,-87.52,-124.68,50.0,1.00,-0.0,50.0,-0.0
6601000,-87.34,-124.00,50.0,1.00,-0.0,50.0,-0.0
6601250,-87.71,-126.54,50.0,1.00,-0.0,50.0,-0.0
6601500,-87.92,-124.48,50.0,1.00,-0.0,50.0,-0.0
6601750,-87.55,-123.00,50.0,1.00,-0.0,50.0,-0.0
6602000,-87.46,-122.46,50.0,1.00,-0.0,50.0,-0.0
6602250,-87.45,-124.24,50.0,1.00,-0.0,50.0,-0.0
6602500,-87.79,-121.63,50.0,1.00,-0.0,50.0,-0.0
6602750,-87.20,-127.12,50.0,1.00,-0.0,50.0,-0.0
6603000,-87.36,-122.35,50.0,1.00,-0.0,50.0,-0.0
6603250,-87.69,-126.39,50.0,1.00,-0.0,50.0,-0.0
6603500,-87.34,-124.32,50.0,1.00,-0.0,50.0,-0.0
6603750,-87.61,-125.80,50.0,1.00,-0.0,50.0,-0.0
6604000,-87.47,-125.83,50.0,1.00,-0.0,50.0,-0.0
6604250,-88.07,-127.93,50.0,1.00,-0.0,50.0,-0.0
6604500,-88.00,-122.64,50.0,1.00,-0.0,50.0,-0.0
6604750,-87.23,-124.83,50.0,1.00,-0.0,50.0,-0.0
6605000,-87.52,-125.22,50.0,1.00,-0.0,50.0,-0.0
6605250,-87.52,-123.51,50.0,1.00,-0.0,50.0,-0.0
6605500,-87.35,-125.55,50.0,1.00,-0.0,50.0,-0.0
6605750,-87.62,-126.27,50.0,1.00,-0.0,50.0,-0.0
6606000,-87.60,-121.10,50.0,1.00,-0.0,50.0,-0.0
6606250,-87.67,-124.72,50.0,1.00,-0.0,50.0,-0.0
6606500,-87.66,-125.74,50.0,1.00,-0.0,50.0,-0.0
6606750,-87.29,-123.58,50.0,1.00,-0.0,50.0,-0.0
6607000,-87.62,-124.54,50.0,1.00,-0.0,50.0,-0.0
6607250,-87.64,-124.67,50.0,1.00,-0.0,50.0,-0.0
6607500,-87.64,-123.87,50.0,1.00,-0.0,50.0,-0.0
6607750,-87.51,-125.98,50.0,1.00,-0.0,50.0,-0.0
6608000,-87.80,-125.11,50.0,1.00,-0.0,50.0,-0.0
6608250,-87.65,-126.30,50.0,1.00,-0.0,50.0,-0.0
6608500,-87.57,-125.15,50.0,1.00,-0.0,50.0,-0.0
6608750,-87.59,-126.20,50.0,1.00,-0.0,50.0,-0.0
6609000,-87.90,-125.24,50.0,1.00,-0.0,50.0,-0.0
6609250,-87.89,-124.87,50.0,1.00,-0.0,50.0,-0.0
6609500,-87.58,-127.34,50.0,1.00,-0.0,50.0,-0.0
6609750,-87.53,-120.23,50.0,1.00,-0.0,50.0,-0.0
6610000,-87.71,-124.87,50.0,1.00,-0.0,50.0,-0.0
6610250,-87.65,-121.23,50.0,1.00,-0.0,50.0,-0.0
6610500,-87.26,-124.96,50.0,1.00,-0.0,50.0,-0.0
6610750,-87.83,-126.67,50.0,1.00,-0.0,50.0,-0.0
6611000,-87.56,-124.55,50.0,1.00,-0.0,50.0,-0.0
6611250,-88.05,-126.52,50.0,1.00,-0.0,50.0,-0.0
6611500,-87.52,-125.87,50.0,1.00,-0.0,50.0,-0.0
6611750,-87.33,-125.03,50.0,1.00,-0.0,50.0,-0.0
6612000,-87.66,-122.72,50.0,1.00,-0.0,50.0,-0.0
